code,secret_number_R1,secret_number_R2,secret_number_R3,secret_number_R4,secret_number_R5,secret_number_R6,secret_number_R7,secret_number_R8,secret_number_R9,secret_number_R10,secret_number_R11,secret_number_R12,secret_number_R13,secret_number_R14,secret_number_R15,secret_number_R16,secret_number_R17,secret_number_R18,secret_number_R19,secret_number_R20,secret_number_R21,secret_number_R22,secret_number_R23,secret_number_R24,sender_message_R1,sender_message_R2,sender_message_R3,sender_message_R4,sender_message_R5,sender_message_R6,sender_message_R7,sender_message_R8,sender_message_R9,sender_message_R10,sender_message_R11,sender_message_R12,sender_message_R13,sender_message_R14,sender_message_R15,sender_message_R16,sender_message_R17,sender_message_R18,sender_message_R19,sender_message_R20,sender_message_R21,sender_message_R22,sender_message_R23,sender_message_R24,sender_choice_R1,sender_choice_R2,sender_choice_R3,sender_choice_R4,sender_choice_R5,sender_choice_R6,sender_choice_R7,sender_choice_R8,sender_choice_R9,sender_choice_R10,sender_choice_R11,sender_choice_R12,sender_choice_R13,sender_choice_R14,sender_choice_R15,sender_choice_R16,sender_choice_R17,sender_choice_R18,sender_choice_R19,sender_choice_R20,sender_choice_R21,sender_choice_R22,sender_choice_R23,sender_choice_R24,used
m8xdo74w,7.0,6.0,3.0,4.0,1.0,1.0,5.0,7.0,3.0,1.0,1.0,5.0,5.0,5.0,6.0,7.0,3.0,2.0,1.0,4.0,7.0,2.0,1.0,2.0,7.0,4.0,2.0,7.0,4.0,1.0,6.0,4.0,3.0,6.0,1.0,5.0,6.0,6.0,6.0,7.0,3.0,6.0,7.0,5.0,3.0,6.0,1.0,7.0,8.0,4.0,2.0,7.0,4.0,1.0,6.0,4.0,8.0,6.0,8.0,8.0,6.0,6.0,6.0,7.0,8.0,6.0,7.0,5.0,3.0,6.0,8.0,7.0,0
monhdri5,6.0,7.0,7.0,7.0,6.0,7.0,7.0,4.0,2.0,5.0,3.0,3.0,5.0,1.0,3.0,5.0,3.0,4.0,3.0,3.0,7.0,2.0,3.0,3.0,6.0,6.0,5.0,2.0,6.0,7.0,5.0,4.0,4.0,3.0,3.0,3.0,7.0,1.0,3.0,2.0,5.0,7.0,7.0,5.0,7.0,4.0,3.0,3.0,8.0,6.0,5.0,2.0,6.0,8.0,5.0,8.0,4.0,3.0,8.0,8.0,7.0,8.0,8.0,2.0,5.0,7.0,7.0,5.0,8.0,4.0,8.0,8.0,0
n8xhachp,2.0,6.0,1.0,1.0,7.0,7.0,2.0,6.0,5.0,3.0,5.0,2.0,6.0,3.0,7.0,5.0,3.0,4.0,1.0,4.0,7.0,1.0,2.0,3.0,5.0,7.0,5.0,2.0,7.0,1.0,4.0,2.0,5.0,7.0,4.0,5.0,6.0,6.0,4.0,7.0,7.0,5.0,7.0,4.0,6.0,6.0,6.0,7.0,5.0,7.0,5.0,2.0,8.0,1.0,4.0,2.0,8.0,7.0,4.0,5.0,6.0,6.0,4.0,7.0,7.0,5.0,7.0,4.0,6.0,6.0,6.0,7.0,0
ob213bau,5.0,4.0,7.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,5.0,3.0,5.0,5.0,3.0,7.0,6.0,1.0,7.0,5.0,6.0,2.0,1.0,5.0,6.0,7.0,7.0,6.0,2.0,4.0,6.0,4.0,3.0,6.0,6.0,6.0,7.0,6.0,1.0,4.0,6.0,3.0,7.0,4.0,7.0,5.0,1.0,7.0,6.0,7.0,8.0,6.0,8.0,8.0,6.0,8.0,3.0,6.0,6.0,6.0,7.0,6.0,1.0,4.0,6.0,3.0,8.0,4.0,7.0,5.0,8.0,7.0,0
olpceysd,6.0,6.0,4.0,5.0,5.0,2.0,7.0,1.0,6.0,2.0,3.0,2.0,5.0,4.0,6.0,5.0,4.0,6.0,4.0,4.0,2.0,5.0,3.0,2.0,6.0,5.0,7.0,5.0,5.0,6.0,6.0,1.0,7.0,2.0,6.0,5.0,5.0,6.0,1.0,5.0,6.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,5.0,8.0,6.0,6.0,1.0,7.0,8.0,6.0,5.0,8.0,6.0,1.0,8.0,6.0,6.0,7.0,5.0,5.0,8.0,5.0,5.0,0
oo1n5ugr,1.0,5.0,4.0,2.0,3.0,6.0,3.0,7.0,4.0,1.0,5.0,3.0,2.0,3.0,6.0,4.0,1.0,1.0,5.0,2.0,4.0,4.0,2.0,6.0,7.0,5.0,4.0,6.0,3.0,7.0,2.0,6.0,6.0,6.0,5.0,7.0,2.0,6.0,6.0,4.0,7.0,6.0,3.0,2.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,6.0,8.0,7.0,2.0,6.0,6.0,6.0,5.0,7.0,8.0,6.0,6.0,8.0,7.0,6.0,3.0,8.0,6.0,6.0,6.0,8.0,0
owfr3yoy,3.0,2.0,3.0,4.0,1.0,4.0,5.0,7.0,3.0,2.0,7.0,1.0,2.0,7.0,2.0,4.0,7.0,3.0,5.0,6.0,1.0,3.0,6.0,4.0,3.0,5.0,4.0,4.0,1.0,5.0,6.0,3.0,3.0,5.0,6.0,7.0,4.0,7.0,4.0,5.0,2.0,3.0,5.0,5.0,1.0,5.0,4.0,4.0,3.0,5.0,4.0,8.0,8.0,5.0,6.0,3.0,8.0,5.0,6.0,7.0,4.0,8.0,4.0,5.0,2.0,8.0,5.0,5.0,8.0,5.0,4.0,4.0,0
ps6pko2f,7.0,1.0,1.0,2.0,2.0,2.0,1.0,6.0,1.0,4.0,6.0,2.0,6.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,5.0,1.0,5.0,3.0,3.0,6.0,7.0,2.0,4.0,3.0,5.0,7.0,5.0,6.0,5.0,2.0,7.0,5.0,6.0,4.0,6.0,6.0,7.0,5.0,4.0,7.0,6.0,4.0,3.0,6.0,7.0,2.0,4.0,3.0,5.0,7.0,5.0,6.0,5.0,8.0,7.0,5.0,6.0,8.0,6.0,6.0,7.0,5.0,4.0,7.0,6.0,4.0,0
q7e3i7qi,3.0,2.0,7.0,7.0,5.0,3.0,3.0,1.0,4.0,5.0,2.0,4.0,7.0,3.0,2.0,1.0,4.0,6.0,7.0,2.0,1.0,6.0,4.0,4.0,4.0,6.0,5.0,7.0,6.0,5.0,3.0,2.0,5.0,7.0,2.0,4.0,6.0,3.0,2.0,1.0,7.0,6.0,5.0,6.0,1.0,2.0,4.0,6.0,4.0,6.0,5.0,8.0,6.0,5.0,8.0,2.0,5.0,7.0,8.0,8.0,6.0,8.0,8.0,8.0,7.0,8.0,5.0,6.0,8.0,2.0,8.0,6.0,0
re4laue2,2.0,7.0,2.0,4.0,7.0,3.0,4.0,6.0,3.0,2.0,6.0,2.0,6.0,5.0,5.0,3.0,1.0,6.0,6.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,2.0,7.0,4.0,3.0,6.0,6.0,1.0,5.0,7.0,4.0,4.0,3.0,6.0,2.0,3.0,6.0,4.0,6.0,5.0,5.0,5.0,3.0,4.0,5.0,2.0,7.0,4.0,3.0,8.0,6.0,1.0,5.0,7.0,4.0,4.0,3.0,6.0,2.0,3.0,8.0,4.0,6.0,0
s32wfeyx,1.0,6.0,7.0,4.0,5.0,3.0,4.0,4.0,1.0,3.0,6.0,5.0,1.0,1.0,6.0,2.0,2.0,6.0,7.0,6.0,1.0,6.0,7.0,1.0,5.0,6.0,6.0,4.0,6.0,3.0,5.0,5.0,3.0,3.0,4.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,1.0,7.0,6.0,6.0,2.0,6.0,5.0,6.0,6.0,8.0,6.0,3.0,5.0,5.0,3.0,8.0,4.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,1.0,7.0,6.0,6.0,2.0,6.0,0
sl6r5yhl,2.0,1.0,4.0,6.0,6.0,2.0,4.0,7.0,5.0,5.0,7.0,2.0,2.0,5.0,3.0,7.0,5.0,2.0,6.0,3.0,5.0,4.0,2.0,4.0,2.0,6.0,6.0,2.0,6.0,7.0,6.0,4.0,5.0,3.0,7.0,5.0,2.0,7.0,5.0,7.0,6.0,2.0,6.0,7.0,1.0,3.0,7.0,7.0,8.0,6.0,6.0,2.0,6.0,7.0,6.0,4.0,8.0,3.0,8.0,5.0,8.0,7.0,5.0,8.0,6.0,8.0,8.0,7.0,1.0,3.0,7.0,7.0,0
tl4jivjz,1.0,5.0,6.0,3.0,5.0,5.0,7.0,4.0,4.0,7.0,2.0,1.0,7.0,4.0,5.0,1.0,5.0,6.0,6.0,4.0,2.0,2.0,4.0,6.0,5.0,3.0,4.0,4.0,7.0,6.0,1.0,4.0,4.0,7.0,5.0,3.0,4.0,5.0,6.0,1.0,2.0,6.0,6.0,5.0,6.0,2.0,7.0,6.0,5.0,3.0,4.0,4.0,7.0,6.0,1.0,4.0,8.0,8.0,5.0,3.0,4.0,5.0,6.0,8.0,2.0,6.0,6.0,5.0,6.0,8.0,7.0,8.0,0
tmz0cshs,4.0,2.0,5.0,2.0,5.0,4.0,6.0,1.0,5.0,2.0,7.0,7.0,1.0,6.0,5.0,4.0,3.0,4.0,7.0,5.0,5.0,5.0,2.0,1.0,5.0,3.0,7.0,4.0,6.0,5.0,6.0,3.0,5.0,7.0,6.0,1.0,5.0,7.0,5.0,4.0,7.0,4.0,5.0,6.0,7.0,6.0,6.0,7.0,5.0,3.0,7.0,4.0,6.0,5.0,6.0,3.0,5.0,7.0,6.0,1.0,5.0,7.0,8.0,4.0,7.0,4.0,5.0,6.0,7.0,6.0,6.0,7.0,0
ue384rqy,2.0,2.0,4.0,3.0,3.0,2.0,1.0,7.0,1.0,2.0,2.0,3.0,1.0,4.0,5.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,7.0,2.0,4.0,6.0,5.0,1.0,3.0,5.0,7.0,4.0,3.0,4.0,2.0,3.0,1.0,4.0,5.0,1.0,4.0,6.0,6.0,1.0,4.0,1.0,7.0,5.0,4.0,6.0,5.0,1.0,3.0,5.0,7.0,4.0,3.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,6.0,6.0,8.0,8.0,8.0,8.0,5.0,0
unofyjva,2.0,2.0,6.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,6.0,2.0,4.0,1.0,5.0,7.0,3.0,7.0,2.0,7.0,5.0,2.0,6.0,1.0,6.0,2.0,6.0,1.0,1.0,7.0,1.0,6.0,7.0,2.0,6.0,2.0,3.0,1.0,3.0,6.0,3.0,7.0,7.0,6.0,6.0,2.0,6.0,7.0,6.0,8.0,8.0,1.0,8.0,7.0,8.0,6.0,7.0,8.0,8.0,8.0,3.0,8.0,3.0,6.0,8.0,8.0,7.0,6.0,6.0,8.0,6.0,7.0,0
upl95jkt,2.0,4.0,1.0,4.0,2.0,3.0,7.0,2.0,6.0,3.0,7.0,1.0,5.0,7.0,7.0,2.0,4.0,2.0,7.0,7.0,1.0,5.0,7.0,1.0,0.0,7.0,7.0,4.0,6.0,3.0,2.0,7.0,2.0,3.0,7.0,6.0,6.0,6.0,7.0,2.0,6.0,7.0,6.0,7.0,6.0,2.0,5.0,6.0,0.0,7.0,7.0,4.0,6.0,8.0,2.0,7.0,2.0,8.0,7.0,6.0,6.0,6.0,7.0,8.0,6.0,7.0,6.0,8.0,6.0,2.0,5.0,6.0,0
ur9vtr5u,6.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,5.0,6.0,7.0,3.0,5.0,7.0,4.0,5.0,7.0,5.0,6.0,2.0,5.0,7.0,4.0,7.0,5.0,4.0,4.0,3.0,6.0,7.0,7.0,7.0,6.0,2.0,7.0,5.0,4.0,7.0,4.0,7.0,2.0,7.0,4.0,6.0,6.0,7.0,4.0,7.0,5.0,4.0,4.0,8.0,6.0,7.0,7.0,7.0,6.0,2.0,7.0,5.0,4.0,7.0,8.0,7.0,2.0,7.0,4.0,6.0,6.0,8.0,0
uw3jzeki,1.0,6.0,7.0,1.0,7.0,7.0,1.0,1.0,3.0,3.0,6.0,2.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,6.0,7.0,5.0,6.0,7.0,5.0,6.0,3.0,4.0,7.0,7.0,7.0,1.0,6.0,6.0,6.0,2.0,7.0,5.0,7.0,6.0,3.0,4.0,6.0,6.0,4.0,5.0,5.0,6.0,5.0,6.0,3.0,4.0,8.0,8.0,7.0,8.0,6.0,6.0,6.0,8.0,7.0,5.0,7.0,6.0,8.0,8.0,6.0,8.0,4.0,5.0,5.0,6.0,0
vpbdd04h,5.0,6.0,2.0,4.0,2.0,3.0,5.0,2.0,6.0,4.0,2.0,4.0,6.0,6.0,1.0,4.0,2.0,2.0,7.0,6.0,2.0,7.0,1.0,4.0,7.0,6.0,2.0,4.0,2.0,7.0,2.0,7.0,4.0,2.0,7.0,4.0,6.0,6.0,1.0,6.0,1.0,5.0,6.0,5.0,7.0,6.0,6.0,4.0,7.0,6.0,8.0,8.0,8.0,7.0,2.0,7.0,4.0,2.0,7.0,4.0,8.0,6.0,8.0,6.0,1.0,5.0,6.0,5.0,7.0,6.0,6.0,4.0,0
vqb2qgpb,7.0,3.0,4.0,6.0,5.0,6.0,5.0,6.0,6.0,7.0,5.0,6.0,4.0,1.0,1.0,4.0,1.0,1.0,5.0,6.0,4.0,7.0,5.0,6.0,5.0,3.0,6.0,5.0,2.0,4.0,5.0,7.0,5.0,7.0,5.0,6.0,6.0,1.0,5.0,5.0,6.0,6.0,7.0,6.0,5.0,2.0,5.0,5.0,5.0,3.0,6.0,5.0,2.0,4.0,8.0,7.0,5.0,8.0,5.0,8.0,6.0,8.0,5.0,5.0,6.0,6.0,7.0,8.0,5.0,2.0,5.0,5.0,0
vya6991e,5.0,3.0,3.0,4.0,6.0,2.0,5.0,5.0,1.0,1.0,4.0,4.0,6.0,2.0,1.0,3.0,6.0,6.0,6.0,2.0,6.0,1.0,3.0,7.0,5.0,6.0,5.0,4.0,7.0,2.0,7.0,7.0,7.0,7.0,4.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,1.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,5.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,4.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,1.0,7.0,7.0,7.0,7.0,7.0,0
vzooqcgg,5.0,7.0,1.0,5.0,3.0,7.0,3.0,3.0,2.0,4.0,2.0,7.0,2.0,4.0,5.0,6.0,3.0,1.0,6.0,2.0,1.0,1.0,2.0,4.0,6.0,7.0,7.0,5.0,3.0,6.0,3.0,3.0,1.0,0.0,7.0,7.0,5.0,4.0,6.0,6.0,7.0,6.0,7.0,2.0,6.0,1.0,7.0,4.0,6.0,7.0,7.0,5.0,3.0,6.0,8.0,3.0,1.0,0.0,7.0,7.0,5.0,4.0,6.0,8.0,7.0,6.0,7.0,2.0,6.0,8.0,7.0,8.0,0
y6zlnify,2.0,4.0,2.0,3.0,5.0,7.0,2.0,1.0,7.0,2.0,7.0,4.0,2.0,5.0,4.0,4.0,6.0,3.0,7.0,2.0,7.0,5.0,7.0,5.0,2.0,5.0,1.0,6.0,6.0,6.0,6.0,7.0,6.0,2.0,3.0,5.0,4.0,7.0,4.0,1.0,6.0,3.0,5.0,4.0,7.0,5.0,5.0,5.0,8.0,5.0,1.0,6.0,6.0,6.0,6.0,7.0,6.0,8.0,3.0,5.0,4.0,7.0,8.0,1.0,8.0,8.0,5.0,4.0,8.0,5.0,5.0,5.0,0
yggbjnz3,5.0,3.0,4.0,1.0,7.0,7.0,7.0,4.0,1.0,3.0,3.0,5.0,7.0,5.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,1.0,6.0,5.0,4.0,6.0,6.0,2.0,2.0,6.0,6.0,7.0,4.0,3.0,5.0,6.0,6.0,6.0,3.0,7.0,6.0,7.0,2.0,2.0,2.0,1.0,6.0,5.0,4.0,6.0,6.0,2.0,2.0,6.0,6.0,7.0,4.0,8.0,8.0,6.0,6.0,6.0,8.0,7.0,6.0,7.0,2.0,8.0,8.0,8.0,8.0,0
zs5y13li,1.0,7.0,1.0,7.0,6.0,5.0,2.0,1.0,2.0,2.0,6.0,4.0,5.0,1.0,6.0,5.0,1.0,2.0,7.0,5.0,7.0,7.0,7.0,1.0,1.0,5.0,2.0,0.0,6.0,2.0,4.0,6.0,2.0,2.0,6.0,4.0,5.0,6.0,6.0,5.0,4.0,2.0,4.0,3.0,7.0,7.0,5.0,1.0,8.0,5.0,2.0,0.0,6.0,2.0,4.0,6.0,8.0,8.0,6.0,4.0,8.0,6.0,8.0,8.0,4.0,8.0,4.0,3.0,8.0,8.0,5.0,8.0,0
zwfns5t6,1.0,6.0,4.0,7.0,7.0,3.0,4.0,2.0,7.0,6.0,1.0,6.0,3.0,5.0,6.0,1.0,4.0,2.0,2.0,1.0,4.0,5.0,4.0,4.0,6.0,5.0,4.0,6.0,6.0,3.0,4.0,4.0,7.0,5.0,3.0,6.0,3.0,5.0,6.0,2.0,5.0,6.0,6.0,2.0,6.0,5.0,6.0,6.0,6.0,5.0,8.0,6.0,6.0,8.0,4.0,4.0,7.0,5.0,3.0,6.0,8.0,5.0,6.0,2.0,5.0,6.0,6.0,2.0,6.0,5.0,6.0,6.0,0
